Film Title,Year,Your Rating,RT Link,RT Score (Fill In)
Bridget Jones: Edge of Reason,2004,7,https://www.rottentomatoes.com/m/bridget_jones_edge_of_reason,
Super Size Me,2004,14,https://www.rottentomatoes.com/m/super_size_me,
The Incredibles,2004,15,https://www.rottentomatoes.com/m/the_incredibles,
Touching the Void,2004,12,https://www.rottentomatoes.com/m/touching_the_void,
American Pie: The Wedding,2003,7,https://www.rottentomatoes.com/m/american_pie_the_wedding,
American Pie: The Wedding,2003,6,https://www.rottentomatoes.com/m/american_pie_the_wedding,
Bus 174,2003,14,https://www.rottentomatoes.com/m/bus_174,
City of God,2003,16,https://www.rottentomatoes.com/m/city_of_god,
EuroTrip,2003,10,https://www.rottentomatoes.com/m/eurotrip,
Kill Bill: Volume 1,2003,10,https://www.rottentomatoes.com/m/kill_bill_volume_1,
The Second Uncanny Issue of X-Men! Making 'X2',2003,14,https://www.rottentomatoes.com/m/x_men_i,
Dr T and the Women,2001,10,https://www.rottentomatoes.com/m/dr_t_and_the_women,
Harry Potter and the Philosopher's Stone,2001,13,https://www.rottentomatoes.com/m/harry_potter_i,
Save The Last Dance,2001,8,https://www.rottentomatoes.com/m/save_the_last_dance,
Transformers,2001,8,https://www.rottentomatoes.com/m/transformers,
"Me, Myself, and Irene",2000,13,https://www.rottentomatoes.com/m/me_myself_and_irene,
Mission Impossible II,2000,10,https://www.rottentomatoes.com/m/mission_impossible_ii,
"O Brother, Where Art Thou?",2000,11,https://www.rottentomatoes.com/m/o_brother_where_art_thou,
The Perfect Storm,2000,13,https://www.rottentomatoes.com/m/the_perfect_storm,
The Widow of St. Pierre,2000,12,https://www.rottentomatoes.com/m/widow_of_st_pierre,
City of Angels,1998,10,https://www.rottentomatoes.com/m/city_of_angels,
"Lock, Stock, and Two Smoking Barrels",1998,14,https://www.rottentomatoes.com/m/lock_stock_and_two_smoking_barrels,
"Next Stop, Wonderland",1998,12,https://www.rottentomatoes.com/m/next_stop_wonderland,
The Negotiator,1998,10,https://www.rottentomatoes.com/m/the_negotiator,
Grosse Point Blank,1997,12,https://www.rottentomatoes.com/m/grosse_point_blank,
Private Parts,1997,15,https://www.rottentomatoes.com/m/private_parts,
Armitage III: Poly Matrix,1996,8,https://www.rottentomatoes.com/m/the_matrix_iii,
James & The Giant Peach,1996,13,https://www.rottentomatoes.com/m/james_the_giant_peach,
Twelve Monkeys,1996,11,https://www.rottentomatoes.com/m/twelve_monkeys,
Clueless,1995,16,https://www.rottentomatoes.com/m/clueless,
Father of the Bride II,1995,10,https://www.rottentomatoes.com/m/father_of_the_bride_ii,
The Englishman Who Went Up a Mountain,1995,10,https://www.rottentomatoes.com/m/the_englishman_who_went_up_a_mountain,
"Priscilla, Queen of the Desert",1994,10,https://www.rottentomatoes.com/m/priscilla_queen_of_the_desert,
Hot Shots Part Deux,1993,10,https://www.rottentomatoes.com/m/hot_shots_part_deux,
Beauty & The Beast,1992,13,https://www.rottentomatoes.com/m/beauty_the_beast,
Death Becomes Her,1992,10,https://www.rottentomatoes.com/m/death_becomes_her,
"Honey, I Blew Up the Kid",1992,10,https://www.rottentomatoes.com/m/honey_i_blew_up_the_kid,
Mr. Saturday Night,1992,13,https://www.rottentomatoes.com/m/mr_saturday_night,
Bernard and the Genie,1991,10,https://www.rottentomatoes.com/m/bernard_and_the_genie,
Naked Gun 2 1/2,1991,12,https://www.rottentomatoes.com/m/naked_gun_2_12,
One Wild Night (Career Opportunities),1991,10,https://www.rottentomatoes.com/m/one_wild_night_career_opportunities,
Back to the Future III,1990,10,https://www.rottentomatoes.com/m/back_to_the_future_iii,
Prayer of the Rollerboys,1990,10,https://www.rottentomatoes.com/m/prayer_of_the_rollerboys,
Young Guns I,1990,11,https://www.rottentomatoes.com/m/young_guns_i,
Back to the Future II,1989,12,https://www.rottentomatoes.com/m/back_to_the_future_ii,
"Honey, I Shrunk the Kids",1989,14,https://www.rottentomatoes.com/m/honey_i_shrunk_the_kids,
The Karate Kid I,1989,14,https://www.rottentomatoes.com/m/the_karate_kid_i,
The Karate Kid II,1989,10,https://www.rottentomatoes.com/m/the_karate_kid_ii,
The Karate Kid III,1989,10,https://www.rottentomatoes.com/m/the_karate_kid_iii,
Shoot to Kill (Deadly Pursuit),1988,14,https://www.rottentomatoes.com/m/shoot_to_kill_deadly_pursuit,
Total Rebuild,1988,10,https://www.rottentomatoes.com/m/total_rebuild,
"Planes, Trains and Automobiles",1987,10,https://www.rottentomatoes.com/m/planes_trains_and_automobiles,
Paradise Motel,1985,10,https://www.rottentomatoes.com/m/paradise_motel,
License to Kill,1984,12,https://www.rottentomatoes.com/m/license_to_kill,
Splash,1984,10,https://www.rottentomatoes.com/m/splash,
The Professional,1981,14,https://www.rottentomatoes.com/m/the_professional,
Star Wars II: The Empire Strikes Back,1980,17,https://www.rottentomatoes.com/m/star_wars_ii_the_empire_strikes_back,
Slapshot,1977,8,https://www.rottentomatoes.com/m/slapshot,
Rocky Marciano Is Dead,1976,13,https://www.rottentomatoes.com/m/rocky_i,
The Sting,1974,18,https://www.rottentomatoes.com/m/the_sting,
Blood Sport,1973,14,https://www.rottentomatoes.com/m/blood_sport,
"The Good, the Bad, and the Ugly",1966,15,https://www.rottentomatoes.com/m/the_good_the_bad_and_the_ugly,
Hot Shots,1956,12,https://www.rottentomatoes.com/m/hot_shots,
Snow White and the Seven Dwarfs,1937,12,https://www.rottentomatoes.com/m/snow_white_and_the_seven_dwarfs,
Barbed Wire,1927,6,https://www.rottentomatoes.com/m/barbed_wire,
On the Waterfront,19,15,https://www.rottentomatoes.com/m/on_the_waterfront,
