Order #,Release Year,Rotten Tomatoes,Length (Minutes)
597,2004,91%,142
598,2005,88%,157
599,2000,91%,113
600,2024,,113
601,2007,85%,115
602,2014,98%,90
603,1986,92%,114
604,2003,41%,106
605,1996,80%,86
606,2012,,101
607,2022,94%,118
608,1997,47%,101
609,2013,,105
610,2006,74%,110
611,2014,90%,114
612,1984,77%,118
613,2009,94%,106
614,2015,,88
615,2019,95%,209
616,1996,,79
617,2017,92%,94
618,2007,93%,96
619,2015,94%,80
620,2001,83%,97
621,2019,97%,130
622,2017,74%,100
623,2012,,158
624,2001,72%,96
625,1999,92%,89
626,2006,81%,137
627,1973,67%,121
628,1962,89%,153
629,2003,64%,135
630,1999,82%,188
631,1998,33%,132
632,1993,68%,115
633,2019,95%,136
634,1996,55%,106
635,2005,75%,96
636,2005,77%,124
637,2000,,116
638,2011,93%,94
639,1988,95%,126
640,2004,87%,98
641,2002,89%,145
642,2004,80%,135
643,2011,,133
644,2017,,113
645,2017,82%,140
646,1986,50%,91
647,2002,22%,96
648,1992,,80
649,2016,,84
650,1964,94%,170
651,2007,94%,83
652,2001,93%,98
653,1996,63%,95
654,1999,90%,108
655,1982,79%,124
656,2005,,130
657,1969,81%,142
658,2010,,80
659,1998,94%,123
660,2015,83%,80
661,2000,61%,165
662,1998,55%,107
663,2000,,130
664,1992,65%,101
665,1986,89%,120
666,1993,52%,109
667,1992,35%,127
668,2005,87%,129
669,1998,80%,143
670,1985,85%,130
671,2006,92%,103
672,2008,85%,114
673,1997,82%,135
674,1985,33%,96
675,2008,63%,123
676,2000,72%,113
677,2006,90%,125
678,1983,96%,193
679,1994,64%,111
680,2024,,121
681,1976,,93
682,2006,,9
683,2008,77%,102
684,1953,96%,118
685,1968,95%,138
686,2002,84%,128
687,1993,80%,114
688,2003,73%,127
689,1997,30%,116
690,1998,94%,169
691,2000,51%,88
692,2013,52%,114
693,1992,60%,106
694,1989,76%,113
695,1987,46%,111
696,2006,,93
697,2015,91%,121
698,2004,97%,127
699,2013,82%,106
700,2012,92%,120
701,2014,86%,93
702,2012,92%,145
703,2000,74%,102
704,2015,,77
705,1959,95%,121
706,2003,72%,128
707,2011,92%,87
708,2006,90%,92
709,2001,93%,107
710,1982,67%,93
711,2013,,96
712,1950,98%,110
713,2006,72%,154
714,1996,87%,96
715,2022,,158
716,1976,89%,114
717,1985,,91
718,2005,85%,116
719,2022,56%,104
720,2012,,128
721,2007,91%,158
722,2013,67%,112
723,2018,96%,120
724,1955,93%,106
725,2015,,80
726,2001,74%,122
727,1996,90%,93
728,1993,93%,119
729,1998,94%,103
730,2018,87%,94
731,2022,95%,100
732,1988,42%,107
733,2024,75%,122
734,2009,,90
735,1992,83%,103
736,2014,,99
737,1992,,94
738,1971,90%,100
739,2006,,104
740,2011,84%,139
741,1993,96%,94
742,2018,97%,94
743,2011,80%,93
744,2013,,157
745,2001,64%,90
746,2001,32%,120
747,2007,89%,122
748,2023,,20
749,2022,,113
750,2016,53%,128
751,1951,96%,105
752,1992,96%,90
753,1979,93%,117
754,2004,27%,90
755,2016,82%,92
756,2012,71%,137
757,1985,70%,113
758,2002,26%,96
759,1999,70%,103
760,2021,,109
761,1982,49%,127
762,2024,,103
763,1960,93%,125
764,1998,43%,151
765,1987,97%,104
766,2002,,94
767,2016,74%,115
768,1989,,7
769,1991,72%,137
770,2003,78%,92
771,2023,88%,114
772,1989,77%,126
773,1995,41%,121
774,1992,82%,126
775,2007,89%,123
776,2014,,101
777,1985,75%,97
778,1987,48%,103
779,1983,69%,103
780,1999,39%,93
781,2000,85%,110
782,1992,38%,129
783,1999,30%,118
784,2006,90%,84
785,1997,83%,93
786,1985,39%,102
